Avg Threads Running,1,1,2.0999999999999996,2.8000000000000003,3.8,4.3,5,5.8,6.399999999999999,7.1,7.6,8,7.555555555555556,7.5,7,7.166666666666666,9.833333333333332,10,10.75,11.666666666666668,14.5,24,24,24,24,24,13,13,16,16,16,16,16,16,16,16,19,19,40,40,40,40,40,40,40,40,40,40,50,50,40,40,40,40,40,40,40,40,30,30,55,55,55,55,55,55,55,55,55,55
Peak Threads Connected,1,1,12,12,12,12,12,12,12,12,12,12,11,11,9,9,24,24,24,24,24,24,24,24,24,24,13,13,19,19,19,19,19,19,19,19,19,19,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,30,30,55,55,55,55,55,55,55,55,55,55
Peak Threads Running,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,2,2,8,8,8,8,8,8,8,8,8,8,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,14,14,21,21,21,21,21,21,21,21,21,21
Questions,38.333333333333336,38.44444444444444,69.44444444444444,214.66666666666669,343,482.7777777777778,631.8888888888889,748.6666666666667,893.3333333333334,1033.111111111111,1161.3333333333335,1237.888888888889,1054.362825,937.1793428571427,807.0010666666666,665.98212,1180.4369524232006,1161.0328052887612,949.2553014108593,866.9632915073956,1159.2585210285029,413.4070747616658,520.8832413447064,428.4,428.4,428.4,552.3737581535373,444.89759157049673,337.42142498745613,401.3530591775326,505.46539618856576,415.2,415.2,415.2,534.4086258776329,430.29628886659975,326.18395185556676
Threads Created,0,0,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.7777777777777779,0.6666666666666667,0.538875,0.5444285714285714,0.5518333333333333,0.5622,2.7725407563491187,3.118373456405139,2.8417272338606243,2.540551769985042,3.986446083316723,3.474009031610637,4.377170095333668,3.6,3.6,3.6,4.6417962870045155,3.7386352232814852,2.8354741595584545,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,8.88888888888889,9.11111111111111,8.777777777777779,8.88888888888889,9.11111111111111,9.222222222222223,9,9,9,9.222222222222223,9,9,7.652025,6.750914285714285,5.739066666666666,4.83492,8.983032050571143,9.105650492703006,7.459533988884138,6.986517367458866,9.368148295794299,3.2810085298544904,4.133993978926242,3.4,3.4,3.4,4.383918715504264,3.530933266432514,2.6779478173607627,3.286609829488465,4.139167502507523,3.4,3.4,3.4,4.376178535606821,3.523620862587763,2.6710631895687063
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,2.2222222222222223,3.8888888888888893,6.666666666666667,9.555555555555555,12,15.222222222222223,17.555555555555557,17.666666666666668,19.22222222222222,16.489575,15.02622857142857,12.471433333333334,9.78228,16.19163801707885,14.593987775976052,11.366908935442497,12.06762090742895,16.145106637432725,8.492022077270445,10.699749121926743,8.8,8.8,8.8,11.346613146011038,9.13888610135474,6.931159056698445,2.706619859578736,3.4087261785356078,2.8,2.8,2.8,3.6039117352056165,2.901805416248746,2.1996990972918757
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.22222222222222,29.22222222222222,28.555555555555554,28.444444444444446,30,30.666666666666668,28.77777777777778,29.22222222222222,28.111111111111114,30.22222222222222,28.77777777777778,29.444444444444446,24.680474999999998,21.450485714285712,17.989766666666664,15.854040000000001,28.83442386603083,30.43532493451416,23.681060282171867,23.37307628386239,30.695634841538766,10.808028098344204,13.617862518815855,11.2,11.2,11.2,14.441144004014049,11.631309583542398,8.821475163070748,11.406469408224675,14.365346038114344,11.8,11.8,11.8,15.18791374122367,12.229037111334002,9.270160481444332
Sort Rows,42.66666666666667,48,42.66666666666667,48,48,53.333333333333336,48,48,42.66666666666667,53.333333333333336,48,48,36.2124,36.58559999999999,26.488,21.58848,47.90950426971277,53.88549332668081,39.78418127404874,42.68126973574871,57.40482359976081,9.264024084295032,11.672453587556447,9.6,9.6,9.6,12.37812343201204,9.969693928750626,7.561264425489213,18.559679037111334,23.374122367101307,19.2,19.2,19.2,24.712537612838513,19.898094282848547,15.083650952858576
